word,high,low
collected,996,442
few,86,345
than,412,326
am,2,208
be,29,179
to,97,165
or,13,139
been,5,119
have,2,116
find,10,112
into,2,112
of,104,104
know,1,93
little,85,91
feels,4,87
felt,2,81
a,110,80
3,24,76
noticed,71,72
does,9,72
sensitive,69,70
doing,33,66
gets,36,65
worth,10,63
throw,19,62
almost,9,62
from,37,61
lasted,1,58
kept,2,56
think,35,54
matter,17,54
using,1,54
whole,20,52
like,4,50
live,24,47
2,12,46
able,80,45
husband,33,45
turned,12,44
started,8,44
own,2,44
became,12,43
through,4,43
light,2,43
decided,40,42
keeps,9,42
near,35,41
couple,34,40
putting,6,40
cause,33,39
can,29,39
figured,6,39
prefer,5,39
that,4,38
began,18,37
washed,8,37
takes,4,37
is,50,36
several,48,35
replace,30,35
where,14,35
threw,9,35
left,2,35
understand,1,35
feel,28,34
someone,8,34
will,7,34
gave,4,34
recommended,3,34
nearly,25,33
seems,8,33
tried,1,33
seem,66,32
pull,22,32
become,19,32
fell,17,32
told,14,32
onto,9,32
search,7,32
rest,5,32
recommend,5,32
1,2,32
dark,40,31
read,26,31
nor,18,31
would,4,31
because,2,31
prior,2,31
supposed,24,30
separate,10,30
must,8,30
similar,6,30
extremely,16,29
negative,15,29
people,7,29
asked,5,29
pay,2,29
those,16,28
their,5,28
feeling,4,28
sprayer,4,28
four,2,28
extra,2,28
fair,2,28
part,53,27
4,28,27
making,22,27
many,17,27
gives,11,27
expect,4,27
7,3,27
fix,3,27
difficult,38,26
starting,26,26
stand,22,26
smelled,15,26
for,14,26
holds,13,26
write,9,26
being,8,26
cannot,1,26
30,16,25
10,5,25
had,4,25
believe,38,24
wearing,25,24
got,20,24
sent,10,24
rid,10,24
literally,6,24
came,4,24
hope,2,24
previous,38,23
combination,22,23
leaves,21,23
gotten,18,23
the,5,23
discontinue,3,23
consider,3,23
my,2,23
wasted,2,23
enjoy,1,23
notice,153,22
most,16,22
ability,15,22
changing,10,22
single,6,22
seeing,6,22
but,3,22
let,2,22
put,158,21
spend,28,21
makes,11,21
local,8,21
taken,8,21
leave,5,21
super,5,21
pretty,4,21
consistency,2,21
quite,2,21
full,2,21
and,119,20
could,49,20
forward,22,20
weighed,11,20
realize,10,20
five,10,20
wet,9,20
entire,7,20
older,5,20
sort,4,20
cleans,4,20
excited,3,20
person,3,20
usually,1,20
an,63,19
comes,35,19
hold,19,19
actual,12,19
not,11,19
recent,3,19
send,3,19
next,2,19
40,1,19
chair,1,19
was,58,18
get,37,18
cover,16,18
trying,13,18
carry,12,18
squeeze,9,18
non,9,18
over,9,18
noticing,8,18
microfiber,6,18
hoping,5,18
remove,4,18
show,3,18
care,3,18
hunt,1,18
everything,1,18
provide,1,18
past,1,18
5,22,17
tend,20,17
current,20,17
known,18,17
allergic,18,17
6,17,17
heard,13,17
pleased,10,17
ended,7,17
hopes,6,17
dissolving,6,17
plan,3,17
sit,3,17
hate,1,17
last,1,17
afford,1,17
residue,1,17
signs,37,16
how,21,16
lack,20,16
reduce,18,16
then,14,16
pair,12,16
miss,12,16
wore,9,16
plain,9,16
heavily,8,16
really,8,16
falling,6,16
both,6,16
hit,5,16
contact,5,16
order,4,16
naturally,4,16
thrown,4,16
heavy,3,16
good,2,16
switching,2,16
mom,2,16
slightly,1,16
former,1,16
minute,1,16
tired,1,16
check,1,16
rating,1,16
any,165,15
exchange,26,15
keep,20,15
2nd,17,15
falls,13,15
becomes,12,15
getting,12,15
returned,11,15
dislike,11,15
in,10,15
above,10,15
want,9,15
has,9,15
still,8,15
imagine,8,15
hot,7,15
incredibly,7,15
sprayed,5,15
prone,5,15
expecting,5,15
filled,4,15
straight,3,15
colored,3,15
healthy,3,15
stock,3,15
suggest,3,15
disposable,2,15
recommending,2,15
designed,2,15
wife,2,15
six,2,15
8,1,15
women,1,15
cleaned,1,15
silky,1,15
turning,1,15
bad,1,15
adding,22,14
appears,17,14
experienced,15,14
caused,14,14
rinse,13,14
missed,11,14
head,10,14
were,10,14
worn,8,14
sell,7,14
allow,7,14
says,5,14
rubbing,5,14
directly,5,14
touch,4,14
u,3,14
build,3,14
attempt,3,14
shopping,3,14
ruining,3,14
higher,3,14
comments,2,14
countless,2,14
creates,2,14
longer,2,14
expensive,2,14
moved,2,14
stuff,1,14
watered,1,14
melted,1,14
fairly,33,13
some,24,13
loves,20,13
loved,15,13
meant,10,13
start,9,13
as,9,13
marks,7,13
glad,7,13
scrubber,7,13
item,7,13
pick,5,13
sitting,5,13
pouring,5,13
bother,4,13
peeling,4,13
fact,4,13
lever,4,13
selling,3,13
alot,3,13
bacon,2,13
paid,2,13
three,2,13
pulling,2,13
damaged,2,13
absorbs,1,13
mop,1,13
air,1,13
are,41,12
turn,30,12
barely,18,12
keeping,18,12
more,15,12
contains,14,12
till,13,12
washing,12,12
stayed,11,12
followed,10,12
across,8,12
during,7,12
bothered,6,12
cloth,6,12
willing,6,12
wipe,6,12
strength,5,12
woke,4,12
sudden,4,12
every,4,12
course,3,12
cost,3,12
deal,2,12
goo,1,12
beginning,1,12
comment,1,12
customer,1,12
invested,1,12
soooo,0,12
between,48,11
about,46,11
might,45,11
your,44,11
receive,32,11
enjoyed,20,11
hard,16,11
particularly,16,11
waited,12,11
thought,12,11
important,11,11
fully,11,11
applying,11,11
warm,10,11
number,10,11
wash,9,11
spent,8,11
wonders,7,11
convenience,6,11
developed,6,11
hole,6,11
whatever,5,11
tear,4,11
lost,4,11
appreciate,4,11
searching,4,11
touched,4,11
regarding,4,11
wondering,4,11
smaller,4,11
trusted,3,11
bringing,3,11
wonderful,3,11
handles,3,11
80,2,11
drug,2,11
snap,2,11
arrived,2,11
commented,2,11
50,1,11
area,1,11
cleared,1,11
wake,1,11
4th,1,11
importantly,1,11
deep,1,11
100,1,11
zero,1,11
stove,1,11
reformulated,0,11
probably,56,10
front,37,10
normally,22,10
multiple,19,10
regular,16,10
simply,16,10
if,15,10
absorb,15,10
until,15,10
change,14,10
rinsed,11,10
catch,9,10
stay,8,10
under,7,10
bunch,7,10
improve,7,10
letting,7,10
paying,6,10
remains,6,10
late,6,10
tiny,6,10
throwing,6,10
waste,5,10
him,5,10
listed,5,10
better,4,10
wait,4,10
answer,4,10
produce,4,10
stiff,4,10
currently,4,10
flat,4,10
swifter,3,10
dropped,3,10
advise,3,10
shocked,3,10
concealer,3,10
knowing,3,10
meets,3,10
positive,3,10
placed,2,10
approximately,2,10
stained,2,10
upset,2,10
squirts,2,10
mix,2,10
saved,2,10
